https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1630195200,2021-08-29 00:00:00,LTC/USDT,175.521,182.588,173.06,174.355,48652.00271165,8616969.56208848047
1630108800,2021-08-28 00:00:00,LTC/USDT,176.263,177.03,170.662,175.522,24968.90845742,4329554.83170481614
1630022400,2021-08-27 00:00:00,LTC/USDT,167.676,176.284,165.121,176.198,29740.41903906,5089626.28425847292
1629936000,2021-08-26 00:00:00,LTC/USDT,177.763,180.19,165,167.66,39961.28041439,6827814.13199890858
1629849600,2021-08-25 00:00:00,LTC/USDT,173.393,178.911,166.725,177.917,44737.86342213,7839905.76552563871
1629763200,2021-08-24 00:00:00,LTC/USDT,186.919,188.578,171.238,173.5,58654.77082258,10582181.42910079192
1629676800,2021-08-23 00:00:00,LTC/USDT,185.883,191.803,183.5,187.123,59683.60849882,11210084.08610566676
1629590400,2021-08-22 00:00:00,LTC/USDT,179.564,190.176,178.394,185.867,64467.09226734,11905600.96036864526
1629504000,2021-08-21 00:00:00,LTC/USDT,183.574,184.454,173.81,179.637,45687.90614397,8258426.11540514578
1629417600,2021-08-20 00:00:00,LTC/USDT,175.622,184.007,174.134,183.542,41728.87504513,7482361.56682482033
1629331200,2021-08-19 00:00:00,LTC/USDT,166.656,175.814,162.675,175.533,53542.45089429,9067201.47555231409
1629244800,2021-08-18 00:00:00,LTC/USDT,168.627,174.467,162.83,166.633,54301.8204745,9150618.11276231092
1629158400,2021-08-17 00:00:00,LTC/USDT,177.989,184.317,166.494,168.517,59471.71200114,10492677.94786999179
1629072000,2021-08-16 00:00:00,LTC/USDT,184.585,188.994,176.603,178.068,52517.67859935,9661589.86429014969
1628985600,2021-08-15 00:00:00,LTC/USDT,182.787,186.489,174.469,184.647,75865.03703301,13738721.49096628367
1628899200,2021-08-14 00:00:00,LTC/USDT,183.3,185,174.5,182.829,69432.93190961,12511206.91036966634
1628812800,2021-08-13 00:00:00,LTC/USDT,165.4,184.476,164.051,183.225,83592.49140675,14831213.27432628403
1628726400,2021-08-12 00:00:00,LTC/USDT,170.616,179.721,160.8,165.4,77754.32171372,13164417.36157318105
1628640000,2021-08-11 00:00:00,LTC/USDT,165.46,175.992,164.239,170.789,72491.71169,12384581.3054806691
1628553600,2021-08-10 00:00:00,LTC/USDT,166.332,168.78,158.751,165.316,64369.61266949,10553746.73989106872
1628467200,2021-08-09 00:00:00,LTC/USDT,149.675,170.893,145.25,166.45,94254.97179077,15284369.88254807912
1628380800,2021-08-08 00:00:00,LTC/USDT,155.975,157.56,147,149.733,41724.66073704,6372970.743504303
1628294400,2021-08-07 00:00:00,LTC/USDT,147.932,156.412,147.103,155.909,66158.19406159,10109678.6952604155
1628208000,2021-08-06 00:00:00,LTC/USDT,143.649,150.84,141.788,147.855,44152.20881654,6474269.43413301018
1628121600,2021-08-05 00:00:00,LTC/USDT,142.58,145.88,136.137,143.394,39902.9666937,5623187.96298202575
1628035200,2021-08-04 00:00:00,LTC/USDT,138.502,144.45,135.54,142.606,26062.05505751,3667488.23924921462
1627948800,2021-08-03 00:00:00,LTC/USDT,141.299,143.185,135.683,138.315,26288.5111974,3651573.44469914699
1627862400,2021-08-02 00:00:00,LTC/USDT,140.261,145.834,138.77,141.337,27698.45444264,3942735.13220515698
1627776000,2021-08-01 00:00:00,LTC/USDT,144.416,149.719,137.954,140.218,28029.49128043,4054311.73188110788
1627689600,2021-07-31 00:00:00,LTC/USDT,145.467,146.524,141.853,144.251,19447.19142603,2804156.91320084095
1627603200,2021-07-30 00:00:00,LTC/USDT,141.438,145.844,135.846,145.536,26778.73280661,3762003.1748018276
1627516800,2021-07-29 00:00:00,LTC/USDT,140.411,142.978,136.8,141.312,29525.47056411,4111256.32158706062
1627430400,2021-07-28 00:00:00,LTC/USDT,134.718,142,132.262,140.456,40575.96819513,5580689.91991201186
1627344000,2021-07-27 00:00:00,LTC/USDT,131.027,135.112,127.352,134.704,30985.31981737,4072866.32440848497
1627257600,2021-07-26 00:00:00,LTC/USDT,127.677,140.454,126.889,131.11,64314.95670809,8686109.86047633465
1627171200,2021-07-25 00:00:00,LTC/USDT,125.985,127.988,123.537,127.674,24559.16943293,3076631.93152266474
1627084800,2021-07-24 00:00:00,LTC/USDT,124.257,127.671,123.317,125.965,21854.74902729,2746289.11122991781
1626998400,2021-07-23 00:00:00,LTC/USDT,120.699,124.8,117.041,124.25,19332.03212089,2323363.76746514088
1626912000,2021-07-22 00:00:00,LTC/USDT,117.758,121.988,115.587,120.701,32135.40343732,3802892.58255719753
1626825600,2021-07-21 00:00:00,LTC/USDT,107.356,119.2,105.062,117.776,50504.11793188,5724387.44410839258
1626739200,2021-07-20 00:00:00,LTC/USDT,113.187,115.043,103.885,107.225,69625.25098516,7501323.18849543767
1626652800,2021-07-19 00:00:00,LTC/USDT,119.194,120.713,111.874,113.172,37299.95946973,4304539.05739474747
1626566400,2021-07-18 00:00:00,LTC/USDT,119.955,124.057,116.221,119.129,30189.92580029,3621119.96281328162
1626480000,2021-07-17 00:00:00,LTC/USDT,120.582,122.92,117.68,119.991,33788.68705229,4063355.64551308264
1626393600,2021-07-16 00:00:00,LTC/USDT,125.836,127.784,120.4,120.624,34836.27396134,4312209.20864705297
1626307200,2021-07-15 00:00:00,LTC/USDT,131.15,133.065,121.988,125.802,25241.25501299,3187338.97412535336
1626220800,2021-07-14 00:00:00,LTC/USDT,131.377,132.358,123.661,131.031,30032.90040664,3839378.94524897596
1626134400,2021-07-13 00:00:00,LTC/USDT,133.368,134.585,129.429,131.41,23457.47310917,3102778.11876209272
1626048000,2021-07-12 00:00:00,LTC/USDT,134.304,139.704,131.907,133.368,31801.4832706,4326900.55403994178
1625961600,2021-07-11 00:00:00,LTC/USDT,134.15,136.42,132.075,134.263,16649.06642673,2239492.69386062753
1625875200,2021-07-10 00:00:00,LTC/USDT,134.531,137.024,130.365,134.012,21620.40377792,2879471.26198487338
1625788800,2021-07-09 00:00:00,LTC/USDT,132.019,135.81,126.036,134.512,31459.40251036,4131117.8268870678
1625702400,2021-07-08 00:00:00,LTC/USDT,137.301,137.712,127.755,132.048,43642.24930178,5755075.44505119093
1625616000,2021-07-07 00:00:00,LTC/USDT,138.855,142.949,136.906,137.355,25099.85403424,3518003.11036290322
1625529600,2021-07-06 00:00:00,LTC/USDT,137.841,142.673,135.632,138.932,33038.36994282,4577378.8368126545
1625443200,2021-07-05 00:00:00,LTC/USDT,144.902,144.97,133.877,137.8,38220.62374586,5332966.40225878331
1625356800,2021-07-04 00:00:00,LTC/USDT,140.22,148.063,136.87,144.892,27562.64113736,3953465.03507208742
1625270400,2021-07-03 00:00:00,LTC/USDT,136.948,141.375,134.561,140.018,26456.15759157,3665197.33580579407
1625184000,2021-07-02 00:00:00,LTC/USDT,137.056,138.963,130.611,136.873,41617.4779069,5568605.06491775661
1625097600,2021-07-01 00:00:00,LTC/USDT,144.291,144.291,134.189,137.1,51791.61387085,7110328.33728243982
1625011200,2021-06-30 00:00:00,LTC/USDT,144.2,146.889,136.093,144.291,59259.47586194,8388410.76017622485
1624924800,2021-06-29 00:00:00,LTC/USDT,137.661,149.165,137.263,144.144,45093.65031338,6492550.15011577803
1624838400,2021-06-28 00:00:00,LTC/USDT,132.64,139.635,129.83,137.66,39188.4801017,5269277.78322968879
1624752000,2021-06-27 00:00:00,LTC/USDT,126.837,132.663,124.682,132.567,31398.97795471,4012326.25664334441
1624665600,2021-06-26 00:00:00,LTC/USDT,125.045,129.393,118.708,126.808,71400.59119432,8817884.70092033158
1624579200,2021-06-25 00:00:00,LTC/USDT,134.581,138.485,124.336,125.042,79800.40719798,10423296.14015503355
1624492800,2021-06-24 00:00:00,LTC/USDT,129.11,137.353,123.731,134.525,79065.25971291,10400222.47481406081
1624406400,2021-06-23 00:00:00,LTC/USDT,119.682,133.698,115.477,129.101,103680.52844002,13149940.52747893991
