https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1624320000,2021-06-22 00:00:00,BTC/USDT,31614,33290.2,28801.8,32505.1,14492.17412516,456701075.827174
1624233600,2021-06-21 00:00:00,BTC/USDT,35603.2,35742.5,31251.6,31614.1,13620.6485917,447895035.177961
1624147200,2021-06-20 00:00:00,BTC/USDT,35479.6,36191.3,33335,35600.5,7100.3775531,247106949.699162
1624060800,2021-06-19 00:00:00,BTC/USDT,35822.9,36492.7,34811,35478.5,5600.90553303,200080223.617179
1623974400,2021-06-18 00:00:00,BTC/USDT,38094.7,38194.5,35117.3,35823,7211.36151168,265798131.086482
1623888000,2021-06-17 00:00:00,BTC/USDT,38356,39571.9,37366.3,38091.2,7793.90305612,300356565.435873
1623801600,2021-06-16 00:00:00,BTC/USDT,40154.6,40496.1,38105.2,38347.2,7972.12325903,313057464.048126
1623715200,2021-06-15 00:00:00,BTC/USDT,40543.1,41355.3,39525,40156.7,7466.72524707,300509566.354149
1623628800,2021-06-14 00:00:00,BTC/USDT,39015.3,41029,38737.2,40543,9828.01439756,390847958.339965
1623542400,2021-06-13 00:00:00,BTC/USDT,35553.3,39375,34761.7,39018.7,7947.76537761,291833418.795296
1623456000,2021-06-12 00:00:00,BTC/USDT,37332.6,37453.7,34625.5,35573.4,6153.43028558,219888857.173933
1623369600,2021-06-11 00:00:00,BTC/USDT,36673,37680.4,35926.2,37337.6,5668.35626872,209651638.446378
1623283200,2021-06-10 00:00:00,BTC/USDT,37386.3,38451.5,35800,36673,7953.00496074,294611922.497836
1623196800,2021-06-09 00:00:00,BTC/USDT,33379.8,37534.7,32393.9,37377,9786.86344386,343432220.15369
1623110400,2021-06-08 00:00:00,BTC/USDT,33560,34061.3,31000,33379.8,10968.25291235,358886482.876784
1623024000,2021-06-07 00:00:00,BTC/USDT,35798,36800,33301.3,33560,6693.22678492,238469255.088041
1622937600,2021-06-06 00:00:00,BTC/USDT,35514.6,36465.9,35230.4,35798.1,5183.52049311,186157286.972357
1622851200,2021-06-05 00:00:00,BTC/USDT,36829.3,37962.4,34800,35514.6,7313.70229337,265851704.267843
1622764800,2021-06-04 00:00:00,BTC/USDT,39249.9,39285.7,35555.8,36829.3,8194.77534541,303419309.9509
1622678400,2021-06-03 00:00:00,BTC/USDT,37589,39474.5,37176.2,39249.9,5991.13810668,230828970.606462
1622592000,2021-06-02 00:00:00,BTC/USDT,36694.6,38230.7,35926.8,37589,6046.54340783,225880526.869911
1622505600,2021-06-01 00:00:00,BTC/USDT,37257.6,37898.9,35698.1,36689.4,7683.09502812,280928353.823035
1622419200,2021-05-31 00:00:00,BTC/USDT,35644.5,37500,34127.8,37257.6,8288.36586648,299164716.963122
1622332800,2021-05-30 00:00:00,BTC/USDT,34605.6,36496.4,33393.1,35644.4,7624.55210582,269410832.42764
1622246400,2021-05-29 00:00:00,BTC/USDT,35661.3,37337.8,33621,34600.2,12290.41413565,431403491.258477
1622160000,2021-05-28 00:00:00,BTC/USDT,38529.4,38875,34683,35661.2,11531.34517002,419888900.698376
1622073600,2021-05-27 00:00:00,BTC/USDT,39241.3,40399,37134.7,38527.7,8469.64540474,328474370.579649
1621987200,2021-05-26 00:00:00,BTC/USDT,38320.9,40831.3,37803.6,39241.4,9233.46947077,361841801.040167
1621900800,2021-05-25 00:00:00,BTC/USDT,38803.2,39793.6,36444.6,38320.9,9520.13878761,361761310.087242
1621814400,2021-05-24 00:00:00,BTC/USDT,34687.8,39920,34370.3,38809.9,10412.74700432,386404645.832023
1621728000,2021-05-23 00:00:00,BTC/USDT,37446.3,38271.7,31088,34676.9,14558.40212191,500827223.16642
1621641600,2021-05-22 00:00:00,BTC/USDT,37252.7,38837.7,35210,37453.8,10179.56518335,380977242.276555
1621555200,2021-05-21 00:00:00,BTC/USDT,40522.7,42238.2,33433.3,37257,13365.87411688,509140291.275023
1621468800,2021-05-20 00:00:00,BTC/USDT,36670.8,42398.4,34875.4,40530.5,12863.45289698,508622726.563658
1621382400,2021-05-19 00:00:00,BTC/USDT,42850.7,43571,29000,36664.7,21800.57340109,836064780.461117
1621296000,2021-05-18 00:00:00,BTC/USDT,43531.1,45784.2,42267.2,42847.8,9551.68122428,419737500.813653
1621209600,2021-05-17 00:00:00,BTC/USDT,46426.1,46617,42112.5,43538.7,11722.79249275,516079876.219257
1621123200,2021-05-16 00:00:00,BTC/USDT,46775.5,49785.8,43877.8,46427.4,9409.63034288,442072367.405207
1621036800,2021-05-15 00:00:00,BTC/USDT,49848.4,50660.8,46556.7,46775.4,7795.08529432,379327493.44658
1620950400,2021-05-14 00:00:00,BTC/USDT,49675.4,51465,48813,49848.5,5450.84361176,273449532.683815
1620864000,2021-05-13 00:00:00,BTC/USDT,49627.6,51360.8,45800,49675.4,10032.9751252,497271870.99708
1620777600,2021-05-12 00:00:00,BTC/USDT,56678.4,57990,48352.8,49661.9,9545.09873417,522673294.262294
1620691200,2021-05-11 00:00:00,BTC/USDT,55813.2,56856,54428.1,56678.3,6867.99353936,382931091.481399
1620604800,2021-05-10 00:00:00,BTC/USDT,58250.3,59499.9,52538,55813.2,8151.25825773,466857350.538143
1620518400,2021-05-09 00:00:00,BTC/USDT,58863.1,59208.9,56227.1,58250.2,5830.15382373,337488136.02253
1620432000,2021-05-08 00:00:00,BTC/USDT,57307.2,59491,56910.4,58863.1,5872.02102552,343485003.628512
1620345600,2021-05-07 00:00:00,BTC/USDT,56397.7,58643.2,55244.6,57307.3,6550.0415782,372658921.951174
1620259200,2021-05-06 00:00:00,BTC/USDT,57431.5,58362.4,55242,56397.6,6418.75056143,365133897.801951
1620172800,2021-05-05 00:00:00,BTC/USDT,53196.3,57979.7,52888,57431.5,6154.55158495,344232265.380599
