https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1621555200,2021-05-21 00:00:00,ETH/USDT,2768.81,2937.7,2102,2428.91,251451.70746924,642213068.2904206908
1621468800,2021-05-20 00:00:00,ETH/USDT,2440.6,2988.84,2150,2769.8,278676.27852333,741592523.8612031272
1621382400,2021-05-19 00:00:00,ETH/USDT,3375.55,3441.8,1800,2438.13,331906.63025135,916740098.3869058977
1621296000,2021-05-18 00:00:00,ETH/USDT,3281.83,3561.86,3239.69,3374.54,152487.7679075,519882469.804591781
1621209600,2021-05-17 00:00:00,ETH/USDT,3582.01,3586.85,3121,3281.56,181587.54440328,609568910.4736178586
1621123200,2021-05-16 00:00:00,ETH/USDT,3645.61,3878.33,3346.93,3582.07,162670.06885196,588964342.9180244492
1621036800,2021-05-15 00:00:00,ETH/USDT,4075.81,4131.1,3631.48,3647.34,152670.60528981,593019328.8833475712
1620950400,2021-05-14 00:00:00,ETH/USDT,3718.12,4172.93,3692.93,4075.95,105180.34845213,418044305.0573199777
1620864000,2021-05-13 00:00:00,ETH/USDT,3814.52,4034.2,3500,3717.15,198117.20092349,751658619.0551058273
1620777600,2021-05-12 00:00:00,ETH/USDT,4173.37,4373.11,3720,3807.08,196044.66191401,815909847.4005097571
1620691200,2021-05-11 00:00:00,ETH/USDT,3945.23,4179.28,3771.15,4173.75,140528.25485557,559115275.8789926628
1620604800,2021-05-10 00:00:00,ETH/USDT,3923.7,4208.09,3600,3946.44,155656.84742693,628600169.1359857924
1620518400,2021-05-09 00:00:00,ETH/USDT,3910.45,3983.29,3727,3923.65,122710.41708203,476718007.8343712309
1620432000,2021-05-08 00:00:00,ETH/USDT,3479.54,3958.56,3450.05,3910.4,109965.21705373,406093977.2119695444
1620345600,2021-05-07 00:00:00,ETH/USDT,3489.42,3585,3352.92,3479.55,98175.74604842,341153284.9391058448
1620259200,2021-05-06 00:00:00,ETH/USDT,3524.22,3606,3376.06,3489.11,99204.96645251,346224890.2696622186
1620172800,2021-05-05 00:00:00,ETH/USDT,3239.23,3545.7,3200,3524.22,122332.30130248,411952094.842268231
1620086400,2021-05-04 00:00:00,ETH/USDT,3430.48,3527.31,3158,3239.61,153734.86803059,513127110.9249766653
1620000000,2021-05-03 00:00:00,ETH/USDT,2949.12,3457.42,2949.11,3429.68,104166.57581062,332584556.9369119332
1619913600,2021-05-02 00:00:00,ETH/USDT,2945.36,2983.93,2853.15,2949.39,46303.3269307,135567359.4022125541
1619827200,2021-05-01 00:00:00,ETH/USDT,2772.17,2953.82,2753.17,2945.35,36071.79222219,103654676.0738402098
1619740800,2021-04-30 00:00:00,ETH/USDT,2758.01,2798.28,2670.83,2772.16,46707.71871443,128687612.6260127623
1619654400,2021-04-29 00:00:00,ETH/USDT,2748.42,2799,2669.12,2758.01,72085.09530914,197561452.1909272205
1619568000,2021-04-28 00:00:00,ETH/USDT,2665.93,2760.18,2559.05,2748.66,65572.81713855,175353263.4578972734
1619481600,2021-04-27 00:00:00,ETH/USDT,2532.41,2680,2481.47,2665.94,68213.82800988,176132867.3383130961
1619395200,2021-04-26 00:00:00,ETH/USDT,2320,2542.44,2304,2532.41,111820.81449393,275747120.5323105482
1619308800,2021-04-25 00:00:00,ETH/USDT,2213.63,2356.53,2163.99,2320,93383.27123507,211606630.3245370424
1619222400,2021-04-24 00:00:00,ETH/USDT,2367.19,2368.7,2154.75,2213.11,106663.79715521,239780858.0928026093
1619136000,2021-04-23 00:00:00,ETH/USDT,2398.1,2442.66,2050,2367.2,173726.74546221,392255989.7778367077
1619049600,2021-04-22 00:00:00,ETH/USDT,2356.71,2647.08,2279.31,2398.18,185444.56159633,458949931.42508716
1618963200,2021-04-21 00:00:00,ETH/USDT,2329.83,2469.87,2236.74,2355.98,155498.2779577,366405763.8056315423
1618876800,2021-04-20 00:00:00,ETH/USDT,2160.94,2346.48,2050.02,2330.76,132650.52283714,290562972.3223777249
1618790400,2021-04-19 00:00:00,ETH/USDT,2235.86,2278.32,2077.54,2160.94,152972.34543804,334319934.5161600071
1618704000,2021-04-18 00:00:00,ETH/USDT,2317.42,2338.86,1868.01,2235.73,136004.58111822,294595404.5456604472
1618617600,2021-04-17 00:00:00,ETH/USDT,2422.42,2495.01,2312.22,2317.42,90963.44482163,218551774.9982174571
1618531200,2021-04-16 00:00:00,ETH/USDT,2514.38,2546.2,2296.86,2422.41,133771.39157249,323029531.7070821346
1618444800,2021-04-15 00:00:00,ETH/USDT,2432.04,2542.68,2401,2514.38,71743.8262132,176639006.1451281199
1618358400,2021-04-14 00:00:00,ETH/USDT,2299.49,2447.46,2281.35,2431.83,107773.08585535,253883266.1544407249
1618272000,2021-04-13 00:00:00,ETH/USDT,2137.61,2316.86,2135.92,2299.04,81993.42208524,183363333.8370912509
1618185600,2021-04-12 00:00:00,ETH/USDT,2151.58,2201.73,2102.17,2137.61,57143.11740463,122640746.7259996122
1618099200,2021-04-11 00:00:00,ETH/USDT,2133.97,2165,2113.27,2151.04,46840.71873542,100227633.3025979598
1618012800,2021-04-10 00:00:00,ETH/USDT,2066.93,2198.05,2058,2133.73,83506.70964116,178891121.1335930796
1617926400,2021-04-09 00:00:00,ETH/USDT,2079.96,2100.7,2049.53,2066.67,43422.68588363,90119704.5727054738
